User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,Test run no.: 34
Test name: Nile Red - CMC,Date: 7/11/2022,Time: 1:57:58 PM
,,
Fluorescence (FI) spectrum,,
,,
Well,Content,Maximum (RFU) of  (full range) based on RFU (RFU)
A01,Sample X1,819717
A02,Sample X2,734507
A03,Sample X3,629347
A04,Sample X4,556462
A05,Sample X5,443150
A06,Sample X6,296652
A07,Sample X7,207834
A08,Sample X8,140538
A09,Sample X9,96313
A10,Sample X10,73743
A11,Sample X11,68820
A12,Sample X12,59608
B01,Sample X13,66646
B02,Sample X14,59791
B03,Sample X15,60024
B04,Sample X16,56231
B05,Sample X17,56330
B06,Sample X18,60123
B07,Sample X19,56770
B08,Sample X20,53041
B09,Sample X21,52552
B10,Sample X22,47858
B11,Sample X23,43225
B12,Sample X24,37218
C01,Sample X25,799311
C02,Sample X26,716232
C03,Sample X27,590105
C04,Sample X28,515305
C05,Sample X29,396070
C06,Sample X30,297118
C07,Sample X31,202343
C08,Sample X32,138800
C09,Sample X33,101675
C10,Sample X34,70825
C11,Sample X35,68195
C12,Sample X36,57676
D01,Sample X37,61650
D02,Sample X38,59245
D03,Sample X39,60038
D04,Sample X40,56816
D05,Sample X41,52471
D06,Sample X42,51993
D07,Sample X43,50720
D08,Sample X44,56518
D09,Sample X45,54232
D10,Sample X46,47837
D11,Sample X47,48937
D12,Sample X48,38381
E01,Sample X49,813833
E02,Sample X50,669066
E03,Sample X51,612598
E04,Sample X52,510611
E05,Sample X53,396301
E06,Sample X54,283398
E07,Sample X55,200102
E08,Sample X56,137920
E09,Sample X57,98676
E10,Sample X58,75484
E11,Sample X59,63170
E12,Sample X60,56807
F01,Sample X61,60159
F02,Sample X62,60966
F03,Sample X63,63467
F04,Sample X64,56626
F05,Sample X65,57543
F06,Sample X66,56874
F07,Sample X67,51486
F08,Sample X68,52999
F09,Sample X69,49553
F10,Sample X70,46184
F11,Sample X71,50105
F12,Sample X72,44381
G01,Sample X73,791852
G02,Sample X74,695022
G03,Sample X75,581191
G04,Sample X76,504427
G05,Sample X77,379130
G06,Sample X78,299482
G07,Sample X79,197397
G08,Sample X80,135103
G09,Sample X81,99416
G10,Sample X82,72628
G11,Sample X83,61732
G12,Sample X84,56345
H01,Sample X85,61680
H02,Sample X86,58772
H03,Sample X87,55639
H04,Sample X88,52437
H05,Sample X89,55439
H06,Sample X90,55698
H07,Sample X91,47787
H08,Sample X92,50029
H09,Sample X93,47971
H10,Sample X94,44810
H11,Sample X95,48423
H12,Sample X96,39892
